Sr.No,College Name ,Branch ,VJ
1,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Mechanical Engineering,54.17
2,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil Engineering,32.34
3,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Bio Technology,0
4,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Engineering,0
5,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Business Systems,0
6,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Electrical Engineering,0
7,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Electronics and Telecommunication Engineering,0
8,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",CSE(Artifical Intelligence and Machine Learning),0
9,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",CSE(Data Science),0
10,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil and Environmental Engineering,0
